Date,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2011-11-15,98.86347721840819,103.45661881432146,100.23777110110744,101.15965507750629,98.34822383124877,97.3869793894053,100.78303235688853,100.13336572685044,96.53618055784214,96.95578502902889,98.45795852750777,100.15249458368312,97.73306900281098,98.48231849552111
2011-11-16,98.8638258670115,103.18202135194039,100.31224012501976,101.16088800102112,98.30977856742142,97.81588085884367,100.67036935334563,100.04903515114619,96.59676212384785,96.96084402554058,98.59441621707273,100.08874508613617,97.6055323891704,98.62406485353657
2011-11-17,98.8437708624144,102.94123673965245,100.41941171287523,101.14930881170487,98.32731126768581,98.19183470736928,100.49151100756443,99.96536196932256,96.66777495739366,97.00683488925738,98.76933646040125,100.03811282442858,97.50519373767841,98.7598320952324
2011-11-18,98.82932755796308,102.71709857599515,100.56202183713492,101.1101991066852,98.42447262345105,98.51278798068753,100.26416535316037,99.87845450315504,96.77861118188021,97.14048537614566,99.00621289976596,100.00577522677932,97.4829667246927,98.89860258217553
2011-11-21,98.76993632407452,102.54858901194474,100.78854809319863,101.0448546774762,98.64751909896752,98.71143734041496,99.95179520361218,99.80552888718185,96.93543179737726,97.31331682211574,99.32644430242205,99.98671919691408,97.55878327421134,99.01858702846427
2011-11-22,98.65667438554057,102.42112100170984,101.06464170542888,100.94745049149776,98.96129909582604,98.84445429002919,99.55849231484602,99.76267820488226,97.10515329909025,97.48653027585941,99.69269683367652,99.95982126202959,97.68166348166112,99.13338261489136
2011-11-23,98.48982744047034,102.34230304103366,101.36728576289873,100.83109212008758,99.33147056690196,98.91494922119978,99.11976610691104,99.75857438899467,97.26986607225356,97.61947143954147,100.05436296863073,99.92627581630511,97.84784901415694,99.24226598942629
2011-11-24,98.28005679371641,102.26163767769197,101.69678417362861,100.73139619133755,99.76945392355621,98.94523327638069,98.65053375585344,99.7852686607173,97.47204486413513,97.7282670296562,100.41598626969953,99.89129311614201,98.05843066325016,99.35496292114901
2011-11-25,98.03615126785633,102.23268470555546,102.04689589368002,100.63607963422557,100.25077288228499,98.92719087628002,98.1274727502617,99.80795032006984,97.68184021473618,97.81809008705979,100.7728612069445,99.85347791595868,98.26339746164938,99.44747707062166
2011-11-28,97.7814600090621,102.26400638269118,102.40335334870149,100.52304520500734,100.74465908715142,98.84594233561377,97.56512806934245,99.83351309414216,97.88344521834708,97.89768835534048,101.1042759359437,99.82418370115055,98.45395091038246,99.50683822745145
2011-11-29,97.50690209961648,102.37006599964236,102.76339940073669,100.4014460984672,101.26307412896509,98.67591785964422,96.94272693543549,99.85852184265806,98.06329773141468,97.93685838644792,101.39112265094163,99.80437487852625,98.66214390304945,99.5169582106621
2011-11-30,97.23646311892682,102.51954531819847,103.1075175215136,100.30225689649957,101.8055955405006,98.44931574510572,96.29468805222118,99.87437990085718,98.20867213933329,97.97217642262824,101.64844032623954,99.79301136824822,98.88247520198472,99.49411169130505
2011-12-01,97.0141317051731,102.67519687363766,103.42757081687223,100.1973682762102,102.35884736209326,98.19961369411169,95.62702605045351,99.8561860109071,98.32090600553754,98.02495267015357,101.8673437019008,99.80324324637202,99.128078697951,99.45105195670594
2011-12-02,96.85435899417384,102.80230933117475,103.69324529444769,100.11229651912883,102.88574856960362,97.9572577026563,94.98976925292637,99.80894988229933,98.40594609367511,98.12094814972549,102.03232411465476,99.82598506655987,99.40109181572761,99.40295144964776
2011-12-05,96.7648094307875,102.90131293977696,103.89669530176441,100.03761802026202,103.38684711703732,97.7350233945984,94.42828738845697,99.7391851849264,98.49171911009684,98.29631318577985,102.15634080822814,99.86332640237264,99.7226700131741,99.3567837821422
2011-12-07,96.74367850849607,102.98697415531554,104.020875083584,99.97378212445835,103.85609235952525,97.52037041213318,93.91607655815912,99.6517482201707,98.57677869934062,98.54326474691898,102.23601801643126,99.91516582396139,100.08479585602846,99.306321421858
2011-12-08,96.76512374707079,103.0613230127481,104.06716415659362,99.92857960000005,104.28272354939045,97.31510539550439,93.47564146366278,99.5717279073832,98.63936542583119,98.80312035439809,102.26876900787656,99.97120562644986,100.45155668505616,99.26055806019566
2011-12-09,96.79417322251479,103.14126365770902,104.0505487162962,99.92567427288743,104.64606742011962,97.13765419024766,93.11389429947006,99.49731566366562,98.66236081931856,99.03537909106892,102.24368633398024,100.02073513006248,100.76578582242017,99.22104770568855
2011-12-12,96.86156517868055,103.19856589191014,103.92570104177256,99.95530081356559,104.91020978911936,97.04926932456468,92.87656337249203,99.41025012860503,98.63753895322257,99.25161439516242,102.13624876169261,100.06434927163882,101.022718709431,99.20359029120463
2011-12-13,96.98181358515784,103.2306686500391,103.74891974482145,100.01028028057915,105.08257541727696,97.01388906648863,92.76983352987766,99.2957645536374,98.59100611327928,99.47142083465071,101.98194405683988,100.11445540135232,101.2666209937825,99.18960808773086
2011-12-14,97.15675076054605,103.24403431420646,103.52463913432565,100.06340837426498,105.16331823496493,97.01887978296001,92.76115896068417,99.15147402368697,98.54237504694717,99.72340863865489,101.80422208716273,100.17477387012931,101.4968183128743,99.17514470413177
2011-12-15,97.36822262192405,103.25919992464819,103.26365132453239,100.06736085621363,105.14115525502827,97.05269460853542,92.82327153843029,98.98189982745717,98.44702121315387,99.98170498455976,101.5874431777244,100.22379845836194,101.68009437429707,99.15318524848578
2011-12-16,97.59702016666127,103.2616512946407,102.97505174473956,100.04863746341549,105.03668455340471,97.13677134585838,92.96256545958207,98.83015393237902,98.30756079252923,100.23357972948403,101.34828611534684,100.27502023226764,101.83997776091688,99.15269520052823
2011-12-19,97.81869250512531,103.2657291038922,102.68483372636328,100.03767190818465,104.8802253480316,97.26469103819873,93.17023831517703,98.69178230957883,98.13619135926722,100.45299763274541,101.1117665770981,100.31941046600171,101.99537490622096,99.17343001874565
2011-12-20,98.05054418289482,103.2666003356263,102.3813510451351,100.01046627206567,104.63680288701508,97.44224610335667,93.44758828212632,98.57791905587976,97.92978004005438,100.65171183448219,100.88114266408897,100.3644563422196,102.08433712235362,99.2222264194577
2011-12-21,98.29437684645579,103.28256562455456,102.07845887148899,99.96715378691762,104.29450432840228,97.6495194250783,93.77168754664726,98.47415592212283,97.68856475660026,100.79773819257271,100.65505781272783,100.41625463978957,102.11969520902699,99.2831567893279
